global_index,out_height,out_timestamp,age_seconds,inv_age,norm_age,neglog,softmax_norm_age,gnh_score,newest_rank
9554828,1922354,1754773247,8164099,1.2120479015875283e-07,0.0,-4.548513985037744,0.026759708450328244,0.0,16.0
9574751,1940603,1757029235,5908111,1.668192785032841e-07,0.27650422284005666,-4.225093770372684,0.035283010638654,0.27650422284005666,15.0
9598569,1961508,1759575067,3362279,2.899661000632416e-07,0.5885330539514576,-3.661386646729901,0.04820344030692968,0.5885330539514576,14.0
9610901,1972909,1760954504,1982842,4.832687525190383e-07,0.7576031711869301,-3.133298815852522,0.05708266677132414,0.7576031711869301,13.0
9616375,1977210,1761446355,1490991,6.339582259566588e-07,0.8178866826719667,-2.848208660667241,0.060629648517312985,0.8178866826719667,12.0
9626000,1981493,1761976149,961197,9.545655438112174e-07,0.8828206620350328,-2.4091917968367236,0.064697205068804,0.8828206620350328,11.0
9627899,1983122,1762231397,705949,1.262070123140182e-06,0.9141050260792914,-2.100555443502042,0.06675320868416011,0.9141050260792914,10.0
9628669,1983819,1762311266,626080,1.4035481697731866e-06,0.9238941365594946,-1.9804906206536161,0.0674098720501822,0.9238941365594946,9.0
9629424,1984496,1762385381,551965,1.5665019228811103e-06,0.9329780104434828,-1.8544971191914033,0.06802500448928211,0.9329780104434828,8.0
9631905,1986857,1762678019,259327,2.8924556080375555e-06,0.9688450641527527,-1.0991024709782646,0.07050914405907827,0.9688450641527527,7.0
9633604,1988400,1762860481,76865,6.125011484396533e-06,0.9912084426405117,0.11693591539742218,0.07210373044740201,0.9912084426405117,6.0
9633642,1988438,1762865200,72146,6.307317750053612e-06,0.9917868248959059,0.1802946346115529,0.07214544602825347,0.9917868248959059,5.0
9633899,1988674,1762889192,48154,7.431960402514975e-06,0.9947273943113366,0.5845816730465135,0.07235790694524914,0.9947273943113366,4.0
9634112,1988872,1762912580,24766,8.995556195239551e-06,0.9975939347201433,1.249512442369389,0.07256562137807859,0.9975939347201433,3.0
9634290,1989022,1762931485,5861,1.0838815967743683e-05,0.9999110181145547,2.6906526969126854,0.0727339569228122,0.9999110181145547,2.0
9634300,1989031,1762932211,5135,1.092478286994046e-05,1.0,2.8228910068650994,0.07274042921538922,1.0,1.0
